,Column,H_Statistic,P_Value,F_Regression_Score,F_Regression_P_Value,Distance Correlation,mutual_info_score_reg,pearson_corr,Boost_Factor,Chi2_Score,Chi2_P_Value,t_stat,p_value,WoE,IV,Average CTR 1,Average CTR 0,Standard Deviation CTR 1,Standard Deviation CTR 0,Frequency of 1s,inc_dec_presence,inc_dec_presence_overall
36,contentFeaturization_tags##posing,0.18692809729163568,0.6654857288066924,0.12124814939825024,0.7283818437120573,0.13496192530222023,0.041398885290654164,-0.03396192549946018,0.9709320126277872,3.4355581127733026,0.9445021568960561,-0.34820704961021887,0.7283818437120533,-0.012251765872059513,0.0001103092414333613,0.11756341508428135,0.12244335360052007,0.062559444193518,0.0669607418682408,79,-3.985466236215529,4.472677139354567
47,contentFeaturization_tags##thigh,0.001262749967006095,0.9716529838454657,0.0841422230538407,0.7723326303903396,0.10793835066601583,0.025532723662030188,0.028296869975750896,0.35934194054147023,7.077272727272727,0.6290743569514179,0.2900727892337388,0.7723326303903456,0.05871127321267945,0.0002635426031886831,0.12512738476737179,0.11833236984175573,0.08726687253635647,0.061707866097388424,8,5.742312889282061,11.19439547347116
41,contentFeaturization_tags##holding,0.051433610086274964,0.8205872011441033,0.06658091017962761,0.7968866873727607,0.10389160202377533,0.0,-0.025173439842665363,0.4192258364268902,8.98051948051948,0.4390743601857976,-0.2580327695848493,0.7968866873727478,-0.058686085396540175,0.00022032058100083396,0.11283110159793251,0.11926105981287263,0.02866266115493084,0.0652594585761997,7,-5.391498469851844,0.2673088398108579
21,contentFeaturization_visualContentDensity##high,0.8380526393398751,0.3599543114827647,0.039740376357735266,0.8423745952204088,0.14764215388699706,0.0,0.01945087612657002,2.7343408207397406,7.876223776223776,0.5466665166440163,0.1993498842681768,0.8423745952204117,0.031173665243766805,0.00011947883555182842,0.12214381657973229,0.11838355400996031,0.06857320460027115,0.06309506122975202,13,3.1763386402942477,8.543048914960156
22,contentFeaturization_visualContentDensity##low,0.8380526393398751,0.3599543114827647,0.039740376357734385,0.8423745952204316,0.14764215388702107,0.0,-0.019450876126570028,0.8491838595827612,1.08926499032882,0.9992027321333076,-0.1993498842681768,0.8423745952204117,-0.004370010992292626,1.674887507211613e-05,0.11838355400996031,0.12214381657973229,0.06309506122975202,0.06857320460027115,94,-3.0785533603474544,5.201493235165069
46,contentFeaturization_tags##tank_top,0.004584240804441076,0.9460188595329183,0.02665406574592372,0.8706269688523276,0.10997855178138213,0.0005120537776037715,0.015930593919287524,0.503060205845487,7.293939393939396,0.6065453105826536,0.1632607293439664,0.8706269688523453,0.03884245489507272,8.5862453136524e-05,0.12296848599158523,0.11859517600518098,0.046993755205852146,0.0644724962380772,6,3.6875951735281394,9.275891025317778
27,contentFeaturization_tags##style,0.440824625858142,0.5067247119114632,0.013597797138272475,0.9073921815239973,0.11018019284391956,0.0006573525134208058,0.011379194219142566,0.8384966673455191,6.2511363636363635,0.71454412329358,0.11660959282268545,0.9073921815240044,0.016266454217102003,3.98119486731706e-05,0.12055437766060405,0.11853905109783654,0.03486775232758056,0.06737366719571321,16,1.7001372493729139,7.1305947181186795
32,contentFeaturization_backgroundColors##white,0.3183182208593259,0.5726200897529587,0.013281078242680195,0.908472175011628,0.10191878919097212,0.0,0.011245908707305277,0.9089535145053309,0.6951704545454546,0.9998761136728099,0.1152435605258696,0.9084721750116572,0.0022939696628806083,4.7254429656810175e-06,0.11908083693037415,0.11674212246880657,0.06537083268642477,0.04560573916755763,96,2.0033167224559283,5.821133395898379
40,contentFeaturization_tags##lace,0.08647966533569691,0.7687011658161311,0.012230371999198644,0.91215178375946,0.0957244396590421,0.0,0.010791949192689094,0.8804403998191258,4.055218855218856,0.9077406743958252,0.11059101228942031,0.9121517837594635,0.011156523733863156,3.154162064674564e-05,0.12001366717348388,0.11844443348485907,0.0423626128401401,0.06936525843462361,27,1.324869090471365,6.6500925814099885
33,contentFeaturization_tags##lingerie,0.20130796576080212,0.6536671587037304,0.004285176265666782,0.947931225429451,0.09373124798019306,0.0,0.0063882342665149494,0.9909941181786044,0.6522727272727271,0.9999053563328447,0.06546125774583311,0.9479312254294572,0.0015548455927851233,2.0798690245671488e-06,0.11900332420592034,0.11784119103520782,0.06477467382480716,0.056687887655158364,92,0.9861858663371017,5.752251747383417
