,Column,H_Statistic,P_Value,F_Regression_Score,F_Regression_P_Value,Distance Correlation,mutual_info_score_reg,pearson_corr,Boost_Factor,t_stat,p_value,WoE,IV,Average CTR 1,Average CTR 0,Standard Deviation CTR 1,Standard Deviation CTR 0,Frequency of 1s,inc_dec_presence,inc_dec_presence_overall
4,contentFeaturization_tags##sports_bra,5.326197211867536,0.02100717238617032,0.5626084620575115,0.453477645271803,0.0980383915245041,0.02580816498328309,0.029140008124820854,1.0051759537952263,0.7500723045530412,0.45347764527183154,0.043995477999089636,0.0005036318755002252,0.13719935511821887,0.13031020776184207,0.0838553332473142,0.10916110482789576,170,5.2867288562439905,4.197860462059831
23,contentFeaturization_tags##lace,1.072622073347654,0.30035393177658337,0.522291169409044,0.4701211991051436,0.06870295898010995,0.013868309404055701,0.028077348593959252,1.0467561326202637,0.7226971491634946,0.47012119910519,0.03628783656409457,0.0004280779011702552,0.13628950646773208,0.13008307788651943,0.10277581491461144,0.10353874535503255,213,4.771126792238841,3.5068638998432835
31,contentFeaturization_tags##blonde,0.7677213659282275,0.38092289035467664,0.5085596472053334,0.4760143420039068,0.039559265582937916,0.0,0.0277060875154489,1.2890676134375478,0.7131336811603648,0.4760143420039432,0.10039949205527048,0.0005669768864690391,0.14401386099155244,0.13138954459992247,0.10004654216217358,0.10347449492179944,36,9.60831124734519,9.373226858612297
57,contentFeaturization_visualContentDensity##high,0.052901890208812266,0.8180885767018643,0.507846421883658,0.4763237097525831,0.044741276569795714,0.0012503349612935644,-0.027686667514036596,0.9408369150033162,-0.7126334414575695,0.47632370975260474,-0.06907086674001736,0.0005603309007849769,0.12435558668901696,0.13313131176254425,0.09085713904384524,0.1048682731427646,80,-6.591781420421859,-5.556508933042938
64,contentFeaturization_tags##bodysuit,0.006385122480785354,0.9363112531374667,0.47086457777420365,0.4928299464535184,0.06163744633355219,0.012768747322089657,0.026660274634188397,1.043836567402735,0.6861957284727217,0.49282994645359535,0.039994402719456756,0.0004204730587764059,0.13672641221378265,0.13044754086113125,0.11379505039189336,0.09938370237854997,172,4.813330562770525,3.8386777332452175
35,contentFeaturization_foregroundColors##dark_pink,0.5237695022033793,0.46923813404968817,0.46075977047847694,0.4975063341870273,0.04132649553875969,0.0,-0.0263728580642999,0.8286671317330758,-0.6787928774511967,0.4975063341870709,-0.13156630316293644,0.0005711134223654788,0.11770858780032992,0.13258944693453917,0.09866908682743894,0.10345533058531789,23,-11.223260582387141,-10.604659940007165
59,contentFeaturization_tags##flower,0.041514006613381955,0.8385489744976009,0.42087201840451605,0.5167272240047539,0.038541758726410996,0.0,-0.025206237404654233,0.6840433789481772,-0.648746497797495,0.5167272240048308,-0.17105007537816994,0.0005376764658788909,0.11366955996085731,0.13244151877873434,0.07580008936589733,0.10374216521081468,13,-14.173771934191356,-13.672152923899878
43,contentFeaturization_foregroundColors##light_blue,0.2484479038365947,0.6181700825301326,0.392697139776787,0.5311010995799701,0.02646696492367312,0.0,-0.02434843775216833,0.5869230337271352,-0.6266555192263025,0.5311010995800174,-0.1901725508752889,0.0005076160816381285,0.11175717998241803,0.13238465015997403,0.08212135492835441,0.10356684022776891,10,-15.58146669770981,-15.12453513059578
40,contentFeaturization_tags##athlete,0.42044706523545833,0.5167140516801518,0.36917732144609705,0.5436614032132314,0.051235228629936326,0.0,0.02360844865156421,1.3027173725332801,0.6075996391095853,0.543661403213234,0.15473355500863625,0.00041969370161815475,0.15084222732252572,0.1317578384439501,0.09867415802312678,0.10337641363384298,11,14.484442902191475,14.559119762595053
66,contentFeaturization_tags##hair,0.00374271858634324,0.9512176397563513,0.3610061878728661,0.5481536083050422,0.046002970144707694,0.0002952628921013556,-0.023345863633621754,0.7489580082519538,-0.6008379048236426,0.5481536083050691,-0.05449688478604686,0.0003901558405134649,0.12595127371336953,0.13302168633731706,0.08793826207833352,0.10546606503535493,89,-5.315233041038393,-4.344643368796345
39,contentFeaturization_tags##apparel,0.44848475033067564,0.5030554019209563,0.3572447281599686,0.5502448371501685,0.036559530004375874,0.0,0.023223986420092966,0.7600986619412224,0.5976995299981172,0.5502448371501814,0.1269959209597209,0.0004071004665919,0.1473236478005735,0.13169746086363893,0.10835778102489506,0.10318789820930481,16,11.8652150424632,11.886888120273328
20,contentFeaturization_tags##holding,1.2374994259454384,0.2659535201973886,0.3235885796807374,0.5696519078888613,0.05740046704234724,0.0,-0.022103522070498142,1.0262694711599034,-0.5688484681184746,0.5696519078888964,-0.09647583486982914,0.00039227754960018883,0.12140201538819569,0.13256137725699135,0.11485765758940115,0.10277065183416717,29,-8.41826035585121,-7.799637627070248
65,contentFeaturization_tags##sitting,0.0048659771181469155,0.9443874261159175,0.2647179446737791,0.6070689539800007,0.04179960285546218,0.003164312134002145,-0.019992904051594807,0.8549690813197277,-0.5145074777627416,0.6070689539799953,-0.1463681287731527,0.00033620401905223727,0.11618004735966186,0.132341734277934,0.06039660442036713,0.10383534647551328,11,-12.212086388659978,-11.765530145338001
28,contentFeaturization_tags##wearing,0.9320713394417527,0.33432526662103446,0.24007861284088353,0.6243116782332148,0.04215535140858817,0.0,-0.019040090409364486,0.968316124023364,-0.48997817588221104,0.6243116782332438,-0.0024240033624096545,5.7556179681831924e-06,0.13179637862106652,0.14597619401022294,0.10358402627558265,0.08764873202050952,651,-9.713786200072718,0.09449867406181389
21,contentFeaturization_tags##camisole,1.1610563739775053,0.28124656547792204,0.23154517955142603,0.6305394656829244,0.04710255421064163,0.010639163094557036,0.018698765699366106,0.9579660084376908,0.48119141674746074,0.6305394656829337,0.04779536761287622,0.0002485895294437217,0.13764979017491336,0.1314064045565402,0.08987647891624378,0.10479312618096902,71,4.7512034435785875,4.539949308936919
49,contentFeaturization_tags##tank_top,0.13957516189280922,0.7087037245922176,0.22453114166067384,0.6357651275073695,0.032286590251302344,0.007123666861611921,0.018413470909948288,0.9649130921769066,0.4738471712067889,0.6357651275073992,0.0665820434146639,0.0002531366201823109,0.13989503049808233,0.13161246710688698,0.10712575186914698,0.10309501936739567,37,6.29314499854242,6.245126696219582
